,ordertxid,pair,time,type,ordertype,price,cost,fee,vol,margin,misc
0,OH2BFP-7QJX6-GIU3J4,XREPXXBT,1475609158.3455,sell,limit,0.02,2.878271,0.004605,143.91356717,0,
1,OH2BFP-7QJX6-GIU3J4,XREPXXBT,1475608586.3984,sell,market,0.02,0.2,0.00032,10,0,
2,OH2BFP-7QJX6-GIU3J4,XREPXXBT,1475608565.7161,sell,limit,0.02,5.038987,0.008062,251.94934283,0,
3,OBTEDR-JVVGU-RYL6MO,XREPXXBT,1475608565.6882,sell,limit,0.02,0.02,3.2E-05,1,0,
4,OYZE2M-D3TE5-6EY2RS,XXLMXXBT,1475505197.409,buy,limit,4.51E-06,0.004044792,6.472E-06,896.84972,0,
5,OSA6IN-6U7BI-CW4DLZ,XETHXXBT,1471901213.634,buy,limit,0.019,0.95,0.00152,50,0,
6,OJXW3S-UOER3-7MAO6W,XETHXXBT,1471340638.8916,buy,limit,0.019,0.228,0.000365,12,0,
7,OVAZEY-PLMDT-2QUUER,XETCXXBT,1470999454.7153,buy,limit,0.0032,0.144,0.0002304,45,0,
8,OCSIQJ-3BM3R-BPF3XK,XETCXXBT,1470968582.224,sell,limit,0.0035,0.14,0.000224,40,0,
9,OBWOIQ-XFX6T-PDIROY,XETCXXBT,1470849176.8728,buy,limit,0.0028,0.28,0.000448,100,0,
10,O2VN52-RBUNW-Y4TTPR,XETCXXBT,1470820956.9116,buy,limit,0.0028,0.112,0.0001792,40,0,
11,O7LSXP-IBY4W-PTCKK5,XXBTZEUR,1470322340.3199,buy,limit,525,6.825,0.01092,0.013,0,
12,OXNYAL-A2XGP-5H3HZD,XETHXXBT,1470208478.0236,buy,limit,0.01756,0.877508,0.001404,49.971989,0,
13,OXNYAL-A2XGP-5H3HZD,XETHXXBT,1470208430.6306,buy,limit,0.01756,0.000492,1E-06,0.028011,0,
14,OODG4E-OBGBV-FLUVHW,XETHXXBT,1470143953.9453,buy,limit,0.0174,0.87,0.001392,50,0,
15,O3RIBL-HM34K-5XEVSB,XETCXXBT,1469614684.8501,sell,limit,0.003,0.3,0.00048,100,0,
16,ORZGD6-3FX4F-K5LOLI,XDAOXETH,1468327672.9258,sell,limit,0.0092,10.3345072,0.01653521,1123.316,0,
17,O3BJPN-WSCT7-SQZIGN,XDAOXETH,1468012386.143,sell,limit,0.0085,8.5,0.0136,1000,0,
18,OP7PXV-HLBXM-PZABCV,XETHXXBT,1466433536.0721,sell,limit,0.0158,0.79,0.001264,50,0,
19,OUL7VG-R6EAB-JSGVGV,XETHXXBT,1466251398.0157,buy,limit,0.017,0.85,0.00136,50,0,
